episode,rewards
1,-0.16
2,0.2155
3,0.28700000000000003
4,0.3375
5,0.408
6,0.4465
7,0.4395
8,0.45
9,0.434
10,0.44599999999999995
11,0.478
12,0.43449999999999994
13,0.46649999999999997
14,0.45899999999999996
15,0.43700000000000006
16,0.434
17,0.423
18,0.40700000000000003
19,0.45349999999999996
20,0.41450000000000004
21,0.4755
22,0.40099999999999997
23,0.451
24,0.472
25,0.44400000000000006
26,0.49050000000000005
27,0.48450000000000004
28,0.415
29,0.423
30,0.425
31,0.485
32,0.45299999999999996
33,0.4765
34,0.48800000000000004
35,0.424
36,0.43
37,0.47350000000000003
38,0.484
39,0.4595
40,0.4415
41,0.43200000000000005
42,0.46649999999999997
43,0.428
44,0.47350000000000003
45,0.4809999999999999
46,0.41900000000000004
47,0.4625
48,0.452
49,0.44099999999999995
50,0.3955
51,0.462
52,0.43450000000000005
53,0.4375
54,0.489
55,0.46950000000000003
56,0.505
57,0.4625
58,0.435
59,0.409
60,0.4865
61,0.5135
62,0.4775
63,0.45599999999999996
64,0.444
65,0.496
66,0.49450000000000005
67,0.46399999999999997
68,0.45799999999999996
69,0.402
70,0.4590000000000001
71,0.49450000000000005
72,0.44049999999999995
73,0.45949999999999996
74,0.469
75,0.4640000000000001
76,0.484
77,0.45799999999999996
78,0.435
79,0.433
80,0.47600000000000003
81,0.40549999999999997
82,0.467
83,0.489
84,0.4305
85,0.425
86,0.46799999999999997
87,0.45099999999999996
88,0.49
89,0.48
90,0.402
91,0.47950000000000004
92,0.47700000000000004
93,0.424
94,0.419
95,0.45799999999999996
96,0.514
97,0.45549999999999996
98,0.3815
99,0.47450000000000003
100,0.4575
